# istep   pe  t_kin   ke
4900 3.5817497822791307 2.596101800260417 384.2230664385417 
5000 3.7389650033365385 2.5953021772218774 384.1047222288379 
5100 5.275663203498742 2.596448805787807 384.2744232565954 
5200 6.850387164266557 2.5956551071159613 384.1569558531623 
5300 6.970695977243756 2.5957658033783972 384.17333890000276 
5400 6.818044702781513 2.595745394267083 384.1703183515283 
5500 9.324728735971984 2.596379411940448 384.26415296718636 
5600 7.231275700921207 2.5954419556904225 384.1254094421825 
5700 7.154391397223474 2.5963144632598514 384.254540562458 
5800 5.5090707014964755 2.595422914278864 384.12259131327187 
5900 8.785692304998223 2.59562350627035 384.15227892801175 
6000 6.56948944087467 2.595491700464338 384.13277166872206 
6100 16.15831292382102 2.596505551178995 384.28282157449127 
6200 9.495734577480093 2.596028098712253 384.21215860941345 
6300 9.543349454849807 2.5977219541683465 384.4628492169153 
6400 7.0807853885461896 2.596445655715977 384.2739570459646 
6500 5.964566678374069 2.596099271378212 384.2226921639754 
6600 8.972525670466375 2.596464139016665 384.27669257446644 
6700 5.527549072215057 2.5961851937851974 384.2354086802092 
6800 6.681026340050223 2.597493587853241 384.4290510022796 
6900 4.412397619092734 2.596054918864527 384.21612799195003 
7000 6.881056855655417 2.5955343744794384 384.1390874229569 
7100 9.62808795998334 2.5971621272475445 384.37999483263656 
7200 3.053099940765298 2.5957583514286338 384.1722360114378 
7300 7.067396350973589 2.5961754241228663 384.2339627701842 
7400 6.612855940702764 2.5957168785785156 384.1660980296203 
7500 2.925285418258037 2.595522371992722 384.1373110549228 
7600 5.170177229593279 2.595793056345872 384.17737233918905 
7700 3.5797136084081727 2.5959570440335344 384.2016425169631 
7800 5.035482166985403 2.595749249053658 384.17088885994133 
7900 4.5822262823880875 2.596061592437276 384.2171156807168 
8000 4.819854529737078 2.5958648252083503 384.1879941308358 
8100 3.7076173005146957 2.5958535557534477 384.18632625151025 
8200 2.5072066282294863 2.5953778623820534 384.1159236325439 
8300 3.906714944778047 2.595809996720508 384.17987951463516 
8400 5.542958469477816 2.5955033561140555 384.13449670488023 
8500 6.19363446404357 2.595741639291619 384.16976261515964 
8600 3.8487389073538925 2.595680605005663 384.16072954083813 
8700 2.2887475990260775 2.5960110019505045 384.20962828867465 
8800 3.3135054199251703 2.5954969390118126 384.13354697374825 
8900 7.65104278544995 2.5964034211072886 384.2677063238787 
9000 6.978916106019928 2.5960266643025074 384.2119463167711 
9100 6.776014843331176 2.5962206142704845 384.2406509120317 
9200 4.080688045506049 2.5955471222656983 384.1409740953233 
9300 4.192411478573178 2.5953642490627096 384.113908861281 
9400 7.187265409996867 2.596378894796632 384.26407642990154 
9500 8.13973421457226 2.596534504008614 384.28710659327487 
